機構代碼,機構名稱,產後護理床開放床數,嬰兒床開放床數,機構地址,連絡電話,每日費用,center_longitude,center_latitudes,locality_ids,locality_texts
7401181072,藍田產後護理之家,9,11,臺北市中正區新生南路一段170巷13號3-5樓,(02)33225000,6500,121.532496,25.034212,locality.63597287,中正區
7401181429,新月集產後護理之家,25,30,臺北市中正區泉州街149號1-8樓,(02)23396789,8600,121.5143359,25.029338,locality.63597287,中正區
7401181376,令和產後護理之家,14,16,臺北市中正區信義路2段79巷19號3-7樓,(02)23510988,6000,121.5142067,25.0121814,place.1771751,永和區
7401181394,璽悅金山產後護理之家,10,14,臺北市中正區金山南路一段58號5、6樓,(02)23212211,6800,121.528827,25.039896,locality.63597287,中正區
7401181401,璽悅國際產後護理之家,10,14,臺北市中正區金山南路一段58號3、4樓,(02)23212211,6800,121.528827,25.039896,locality.63597287,中正區
7401181367,璽悅婦兒產後護理之家,3,6,臺北市中正區金山南路一段58號2樓,(02)23212211,6800,121.528827,25.039896,locality.63597287,中正區
7401181349,汭恩產後護理之家,9,11,臺北市中正區中華路一段39號21樓,(02)23825588,19000,121.509759,25.045309,locality.63597287,中正區
7401181385,環球敦品產後護理之家,64,70,臺北市中正區中華路2段77號1-11樓及地下1.2樓,(02)23715777,5800,121.518267,25.032361,region.58599,Taipei
7401101243,薇閣薇恩產後護理之家,24,26,臺北市中山區樂群三路56號3樓、4樓,(02)85025577,7300,121.553696,25.082682,locality.63589095,中山區
7401101494,育安蓁禾產後護理之家,15,17,臺北市中山區新生北路三段11巷32號2-6樓,(02)25997111,5200,121.529088,25.0635741,locality.63589095,中山區
7401101574,小青田大寶產後護理之家,12,16,臺北市中山區建國北路一段80號7樓,(02)77021155,5800,121.536481,25.049296,locality.63589095,中山區
7401101458,木恩產後護理之家,8,10,臺北市中山區長安東路二段90號9樓,(02)25170210,12000,121.534484,25.048431,locality.63589095,中山區
7601101078,木生婦產科診所附設產後護理之家,10,14,臺北市中山區長安東路二段90號6樓、8樓,(02)25012312,12000,121.534484,25.048431,locality.63589095,中山區
7401101501,木芳產後護理之家,8,10,臺北市中山區長安東路二段88、90號7樓,(02)25170297,11600,121.53806750462,25.04943475,locality.63589095,中山區
7401101592,木芯產後護理之家,5,8,臺北市中山區長安東路二段88、90號11樓,(02)25172710,12800,121.53806750462,25.04943475,locality.63589095,中山區
7401101369,協和婦女醫院附設產後護理之家,35,37,臺北市中山區松江路85巷5號5、6、7樓,(02)25072222,5500,121.534419,25.050178,locality.63589095,中山區
7401101476,優兒寶產後護理之家,20,23,臺北市中山區松江路318號14樓,(02)77027600,8000,121.532933,25.060637,locality.63589095,中山區
7401101538,人之初產後護理之家,19,22,臺北市中山區中山北路二段96號8樓,(02)25683777,9800,121.521986,25.05949,locality.63589095,中山區
7601101032,李義男婦產科診所附設產後護理之家,15,18,臺北市中山區中山北路二段71號5樓,(02)25611688,5000,121.527741,25.056214,locality.63589095,中山區
7401021384,孕學林產後護理之家,22,24,臺北市大安區新生南路一段103巷32-3號1-7樓、B1,(02)27115969,9800,121.5356647,25.0411574,locality.63654631,大安區
7601020523,周大中婦產科診所附設產後護理之家,10,12,臺北市大安區敦化南路二段46號2樓,(02)27552757,5000,121.548533,25.031472,locality.63654631,大安區
7401021259,英倫大安館產後護理之家,35,40,臺北市大安區基隆路二段228之1號,(02)23773996,9000,121.552829,25.024703,locality.63654631,大安區
7401021213,愛兒家產後護理之家,22,25,臺北市大安區忠孝東路四段87號6樓,(02)87738628,6900,121.54762,25.041599,locality.63654631,大安區
7401021366,馥御產後護理之家,15,15,臺北市大安區忠孝東路四段221號9樓,(02)87716877,6000,121.5444106,25.0397415,locality.63654631,大安區
7401021231,英倫市民大道館產後護理之家,26,30,臺北市大安區市民大道三段152號、156號1～7樓,(02)27788618,9000,121.5346703,25.0445492,locality.63654631,大安區
7401021295,壹壹產後護理之家,26,30,臺北市大安區大安路二段39號,(02)27031112,9800,121.546021,25.032068,locality.63654631,大安區
7501091057,臺北市立聯合醫院附設中興產後護理之家,35,35,臺北市大同區鄭州路145號9樓,(02)25523234,4550,121.509192,25.051317,locality.63646439,大同區
7401151181,藍田士林產後護理之家,15,17,臺北市士林區福國路108號,(02)28336833,6500,121.52163,25.101985,locality.63638247,士林區
7401151243,璽悅天母產後護理之家,24,30,臺北市士林區忠誠路二段188號3樓,(02)77297775,6500,121.5317395,25.1100679,locality.63638247,士林區
7401151109,璽悅精緻產後護理之家,15,22,臺北市士林區中正路420號8樓,(02)28312121,6500,121.527604,25.095655,locality.63638247,士林區
7401151369,康和士林產後護理之家,12,14,臺北市士林區中正路420號6樓,(02)28356628,6000,121.527604,25.095655,locality.63638247,士林區
7401151341,禾馨士林產後護理之家,54,54,臺北市士林區中正路289-1號1-10樓,(02)28827333,10900,121.5240754,25.0947235,locality.63638247,士林區
7401151421,禧悅生產後護理之家,8,15,臺北市士林區中山北路五段500號、502號3樓,(02)28839288,10240,121.527916,25.093755,locality.63638247,士林區
