id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額,center_longitude,center_latitudes,locality_ids,dist
30,私立,大安區,財團法人台北市中華基督教衛理公會衛理堂附設台北市私立衛理幼兒園,(02)27713679,臺北市大安區新生南路一段113號1樓,195,64480.0,121.532881,25.040192,locality.63654631,大安區
31,私立,中正區,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,(02)23680818,臺北市中正區汀州路二段143號1樓,150,53796.0,121.520291,25.025213,locality.63597287,中正區
32,私立,大安區,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,(02)23636593,臺北市大安區新生南路3段90號1樓,150,65700.0,121.534772,25.025873,locality.63654631,大安區
33,私立,文山區,財團法人台北市華亞之聲社中華基督教便以利教會附設臺北市私立華聲幼兒園,(02)29392038,臺北市文山區指南路2段11號1樓,235,78000.0,121.579684,24.983782,locality.63662823,文山區
34,私立,中正區,財團法人台北基督教女青年會附設臺北市私立幼兒園,(02)23816619,臺北市中正區青島西路7號2樓,106,,121.5183994,25.0447191,locality.63597287,中正區
35,私立,大安區,財團法人台灣聖公會附設臺北市私立聖約翰幼兒園,(02)27327334,臺北市大安區復興南路二段280號,90,61350.0,121.543085,25.02441,locality.63654631,大安區
36,私立,士林區,財團法人林迺翁文教基金會附設臺北市私立天鵝堡幼兒園,(02)28411618,臺北市士林區至善路2段280之1號,210,57000.0,121.579569054154,25.11995205,locality.63638247,士林區
37,私立,中正區,財團法人信誼基金會附設臺北市私立實驗幼兒園,(02)23965305#1023,臺北市中正區重慶南路二段75號2樓,64,86800.0,121.515444,25.030044,locality.63597287,中正區
38,非營利,萬華區,財團法人海棠文教基金會附設臺北市私立國興非營利幼兒園(臺北市政府委託辦理),(02)2303-8164,臺北市萬華區國興路46號1樓及2樓,138,0.0,121.508391,25.023714,locality.63679207,萬華區
39,私立,南港區,財團法人國光慈善事業基金會附設臺北市私立三軍幼兒園,(02)27858410#27,臺北市南港區南港路二段146號1樓,300,42021.0,121.600494,25.053653,locality.63630055,南港區
40,私立,大同區,財團法人陳德星堂附設臺北市私立德星幼兒園,(02)25567150#16,臺北市大同區寧夏路27號1樓,150,69840.0,121.514775,25.054269,locality.63646439,大同區
41,準公共,松山區,財團法人福智文教基金會附設臺北市私立妙行幼兒園,(02)25451351,臺北市松山區南京東路4段133巷5弄23號1樓,34,77136.0,121.549716,25.051648,locality.63671015,松山區
42,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）,(02)27921389,臺北市內湖區行善路25巷13號1樓,89,0.0,121.581577785312,25.05844815,locality.63613671,內湖區
43,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）行善分班,(02)2792-1389,臺北市內湖區行善路25巷11號,60,0.0,121.581577785312,25.05844815,locality.63613671,內湖區
44,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）潭美分班,(02)2790-6877,臺北市內湖區行善路179號,16,0.0,121.581578,25.058448,locality.63613671,內湖區
45,準公共,松山區,財團法人福智文教基金會附設臺北市私立妙慧幼兒園,(02)25451307,臺北市松山區南京東路4段133巷5弄25號,40,78348.0,121.549716,25.051648,locality.63671015,松山區
46,私立,大安區,財團法人臺北市私立立人國際國民中小學附設臺北市私立幼兒園,(02)27361388#518,臺北市大安區安和路二段99號,240,60495.0,121.551916,25.02957,locality.63654631,大安區
47,私立,松山區,財團法人臺北市私立立德幼兒園,(02)27670043,臺北市松山區南京東路5段123巷8弄47號1樓,210,48000.0,121.563826,25.051487,locality.63671015,松山區
48,私立,大安區,財團法人臺北市私立金甌女子高級中學附設臺北市私立幼兒園,(02)33931683,臺北市大安區杭州南路二段1號1樓,90,86322.0,121.524436,25.034729,locality.63654631,大安區
49,私立,大安區,財團法人臺北市私立復興實驗高級中學附設臺北市私立幼兒園,(02)27715859#411,臺北市大安區敦化南路一段262號1樓,300,121010.0,121.547879,25.039337,locality.63654631,大安區
50,私立,大安區,財團法人臺北市私立蒙特梭利幼兒園,(02)27529503#20,臺北市大安區新生南路1段103巷27號,150,151510.0,121.535337,25.017768,locality.63654631,大安區
51,私立,大安區,財團法人臺灣大學校園建設基金會附設臺北市私立幼兒園,(02)33664428,臺北市大安區基隆路四段144巷59弄12號1樓,120,55530.0,121.540357,25.016374,locality.63654631,大安區
52,私立,松山區,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,(02)27135473,臺北市松山區民生東路三段125號1樓,180,82200.0,121.546051,25.057663,locality.63671015,松山區
53,私立,北投區,財團法人臺灣基督長老教會雙連教會附設臺北市私立雙連幼兒園,(02)28228444,臺北市北投區承德路7段221號,1200,65310.0,121.522367,25.08048,locality.63638247,士林區
54,私立,士林區,財團法人臺灣聖公會附設臺北市私立牧愛堂幼兒園,(02)28823460,臺北市士林區中正路509號,270,84840.0,121.522015,25.092992,locality.63638247,士林區
55,公立,文山區,國立政治大學附設實驗國民小學附設幼兒園,(02)29393091#80105,臺北市文山區指南路二段64號,90,21588.0,121.575432,24.9816,locality.63662823,文山區
56,公立,大安區,國立臺北教育大學附設實驗國民小學附設幼兒園,(02)27356186#184,臺北市大安區和平東路二段94號,120,21588.0,121.540503,25.02468,locality.63654631,大安區
57,私立,中正區,國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,(02)23123456#67384,臺北市中正區常德街1號1樓,152,58820.0,121.520156,25.040593,locality.63597287,中正區
58,準公共,中正區,國防醫學院附設臺北市私立愛德幼兒園,(02)23686489,臺北市中正區汀州路3段24巷5弄12號,108,,121.525625,25.020896,locality.63597287,中正區
59,私立,內湖區,康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,(02)27990099,臺北市內湖區文德路66巷99號1至3樓,293,169220.0,121.5818845,25.0766286,locality.63613671,內湖區
60,私立,大安區,新民學校財團法人附設臺北市私立幼兒園,(02)23630450#600,臺北市大安區辛亥路一段113號1樓,90,,121.531712,25.022426,locality.63654631,大安區
61,私立,內湖區,遊戲橘子數位科技股份有限公司附設臺北市私立員工子女幼橘園幼兒園,(02)26589690,臺北市內湖區港墘路221巷33號1樓,75,87900.0,121.574611,25.073603,locality.63613671,內湖區
62,私立,中山區,實踐大學附設臺北市私立幼兒園,(02)25336078,臺北市中山區大直街70號1樓,20,56250.0,121.546232,25.083414,locality.63589095,中山區
63,非營利,信義區,臺北市?公非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,(02)27279090,臺北市信義區福德街221巷15號,168,0.0,121.586066,25.037006,locality.63605479,信義區
64,非營利,內湖區,臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,(02)2796-8321,臺北市內湖區民權東路六段45號,106,0.0,121.586068,25.070144,locality.63613671,內湖區
65,非營利,士林區,臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)88661016,臺北市士林區忠誠路二段53巷7號1、2樓,198,0.0,121.5308989,25.1111015,locality.63638247,士林區
66,公立,士林區,臺北市士林區士東國民小學附設幼兒園,(02)28710064#267,臺北市士林區中山北路6段392號,90,21588.0,121.528123,25.09362,locality.63638247,士林區
67,公立,士林區,臺北市士林區士林國民小學附設幼兒園,(02)28812231#252,臺北市士林區大東路165號,136,21588.0,121.524285,25.093172,locality.63638247,士林區
68,公立,士林區,臺北市士林區文昌國民小學附設幼兒園,(02)28365411#170,臺北市士林區文林路615巷20號,106,21588.0,121.521193,25.099693,locality.63638247,士林區
69,公立,士林區,臺北市士林區平等國民小學附設幼兒園,(02)28610503#22,臺北市士林區平菁街101號,30,21588.0,121.576578,25.128902,locality.63638247,士林區
70,公立,士林區,臺北市士林區百齡國民小學附設幼兒園,(02)28817683#880,臺北市士林區福港街205號,226,21588.0,121.518244,25.086179,locality.63638247,士林區
71,公立,士林區,臺北市士林區社子國民小學附設幼兒園,(02)28151320#10,臺北市士林區延平北路六段308號,234,21588.0,121.502559,25.090933,locality.63638247,士林區
72,公立,士林區,臺北市士林區芝山國民小學附設幼兒園,(02)28348111#10,臺北市士林區德行東路285號,220,21588.0,121.536739,25.110792,locality.63638247,士林區
73,公立,士林區,臺北市士林區雨農國民小學附設幼兒園,(02)28329700#129,臺北市士林區忠義街1號,128,21588.0,121.530122,25.104919,locality.63638247,士林區
74,公立,士林區,臺北市士林區雨聲國民小學附設幼兒園,(02)28311420#262,臺北市士林區至誠路一段62巷70號,152,21588.0,121.535194,25.103115,locality.63638247,士林區
75,公立,士林區,臺北市士林區富安國民小學附設幼兒園,(02)28103192#120,臺北市士林區延平北路八段135號,106,21588.0,121.482435,25.105363,locality.63638247,士林區
76,公立,士林區,臺北市士林區陽明山國民小學附設幼兒園,(02)28616046#163,臺北市士林區仰德大道三段61號,76,21588.0,121.552547,25.119572,locality.63638247,士林區
77,公立,士林區,臺北市士林區溪山國民小學附設幼兒園,(02)28411010#123,臺北市士林區至善路三段199號,30,21588.0,121.579569,25.119952,locality.63638247,士林區
78,公立,士林區,臺北市士林區葫蘆國民小學附設幼兒園,(02)28129586#872,臺北市士林區環河北路3段95號,136,21588.0,121.507518274968,25.08357805,locality.63638247,士林區
79,公立,士林區,臺北市士林區福林國民小學附設幼兒園,(02)28316293#206,臺北市士林區福志路75號,106,21588.0,121.529911,25.098051,locality.63638247,士林區
80,公立,士林區,臺北市士林區劍潭國民小學附設幼兒園,(02)28853564#111,臺北市士林區通河街16號,120,21588.0,121.5227,25.079521,locality.63638247,士林區
81,公立,士林區,臺北市士林區雙溪國民小學附設幼兒園,(02)28411038#21,臺北市士林區中社路二段66號,30,21588.0,121.564679,25.10655,locality.63638247,士林區
82,公立,士林區,臺北市士林區蘭雅國民小學附設幼兒園,(02)28328086#17,臺北市士林區磺溪街57號,166,21588.0,121.522664,25.108001,locality.63638247,士林區
83,公立,大同區,臺北市大同區大同國民小學附設幼兒園,(02)25965407#171,臺北市大同區大龍街51號,120,21588.0,121.516255,25.065707,locality.63646439,大同區
84,公立,大同區,臺北市大同區大橋國民小學附設幼兒園,(02)25944413#161,臺北市大同區重慶北路三段2號,106,21588.0,121.512798,25.064132,locality.63646439,大同區
85,公立,大同區,臺北市大同區大龍國民小學附設幼兒園,(02)25942635#878,臺北市大同區哈密街47號,166,21588.0,121.516593,25.073937,locality.63646439,大同區
86,公立,大同區,臺北市大同區太平國民小學附設幼兒園,(02)25532229#873,臺北市大同區延平北路二段239號,152,21588.0,121.512356,25.061701,locality.63646439,大同區
87,公立,大同區,臺北市大同區日新國民小學附設幼兒園,(02)25584819#512,臺北市大同區太原路151號,150,21588.0,121.517064,25.054223,locality.63646439,大同區
88,公立,大同區,臺北市大同區永樂國民小學附設幼兒園,(02)25534882#115,臺北市大同區延平北路二段266號,182,21588.0,121.510539,25.06102,locality.63646439,大同區
89,公立,大同區,臺北市大同區延平國民小學附設幼兒園,(02)25942439#281,臺北市大同區昌吉街97號,120,21588.0,121.512373,25.066588,locality.63646439,大同區
90,公立,大同區,臺北市大同區蓬萊國民小學附設幼兒園,(02)25569835#120,臺北市大同區寧夏路35號,98,21588.0,121.516119,25.05626,locality.63646439,大同區
91,公立,大同區,臺北市大同區雙蓮國民小學附設幼兒園,(02)25570309#1902,臺北市大同區錦西街51號,150,21588.0,121.516813,25.060601,locality.63646439,大同區
92,公立,大安區,臺北市大安區大安國民小學附設幼兒園,(02)27322332#871,臺北市大安區臥龍街129號1至2樓,226,21588.0,121.550046,25.019959,locality.63654631,大安區
93,公立,大安區,臺北市大安區仁愛國民小學附設幼兒園,(02)27095010#509,臺北市大安區安和路一段60號1樓,120,21588.0,121.551264,25.035759,locality.63654631,大安區
94,公立,大安區,臺北市大安區公館國民小學附設幼兒園,(02)27351734#271,臺北市大安區基隆路四段41巷68弄2號,90,21588.0,121.54283,25.012466,locality.63654631,大安區
95,公立,大安區,臺北市大安區古亭國民小學附設幼兒園,(02)23639795#874,臺北市大安區羅斯福路三段201號,120,21588.0,121.528713,25.020546,locality.63654631,大安區
96,公立,大安區,臺北市大安區幸安國民小學附設幼兒園,(02)27074191#3600,臺北市大安區仁愛路三段22號,196,21588.0,121.534945,25.036981,locality.63654631,大安區
97,公立,大安區,臺北市大安區建安國民小學附設幼兒園,(02)27077119#170,臺北市大安區大安路二段99號,150,21588.0,121.547011,25.029345,locality.63654631,大安區
98,公立,大安區,臺北市大安區新生國民小學附設幼兒園,(02)23913122#250,臺北市大安區新生南路二段36號,120,21588.0,121.532718,25.029749,locality.63654631,大安區
99,公立,大安區,臺北市大安區銘傳國民小學附設幼兒園,(02)23639815#20,臺北市大安區羅斯褔路四段21號,60,21588.0,121.534395,25.026515,country.8935,Taiwan
100,公立,大安區,臺北市大安區龍安國民小學附設幼兒園,(02)23628493#20,臺北市大安區新生南路三段33號1樓至3樓,180,21588.0,121.534844,25.02394,locality.63654631,大安區
101,非營利,大同區,臺北市大龍峒非營利幼兒園（委託財團法人台北基督教女青年會辦理）,(02)25922221,臺北市大同區重慶北路3段320號,106,0.0,121.512683,25.07463,locality.63646439,大同區
102,公立,中山區,臺北市中山區大佳國民小學附設幼兒園,(02)25059744,臺北市中山區濱江街107號2樓,60,21588.0,121.536434,25.073656,locality.63589095,中山區
103,公立,中山區,臺北市中山區大直國民小學附設幼兒園,(02)25336733#13,臺北市中山區大直街2號,106,21588.0,121.545667,25.080296,locality.63589095,中山區
104,公立,中山區,臺北市中山區中山國民小學附設幼兒園,(02)25914085#52,臺北市中山區民權東路一段69號,180,21588.0,121.52643,25.063769,locality.63589095,中山區
105,公立,中山區,臺北市中山區中正國民小學附設幼兒園,(02)25063653#174,臺北市中山區龍江路62號,136,21588.0,121.539452,25.050921,locality.63589095,中山區
106,公立,中山區,臺北市中山區五常國民小學附設幼兒園,(02)25023416#114,臺北市中山區五常街16號,226,21588.0,121.541746,25.063794,locality.63589095,中山區
107,公立,中山區,臺北市中山區永安國民小學附設幼兒園,(02)25335672#270,臺北市中山區明水路397巷19弄1號,150,21588.0,121.549514,25.079179,locality.63589095,中山區
108,公立,中山區,臺北市中山區吉林國民小學附設幼兒園,(02)25221525#10,臺北市中山區長春路116號,174,21588.0,121.534627,25.0546671,locality.63589095,中山區
109,公立,中山區,臺北市中山區長安國民小學附設幼兒園,(02)25617600#170,臺北市中山區吉林路15號,136,21588.0,121.531385,25.050361,locality.63589095,中山區
110,公立,中山區,臺北市中山區長春國民小學附設幼兒園,(02)25024366#184,臺北市中山區長春路165號,120,21588.0,121.534217,25.055706,locality.63589095,中山區
111,公立,中山區,臺北市中山區濱江國民小學附設幼兒園,(02)85021571#1500,臺北市中山區樂群2路266巷99號,182,21588.0,121.553751,25.080018,locality.63589095,中山區
112,公立,中山區,臺北市中山區懷生國民小學附設幼兒園,(02)27710846#903,臺北市中山區安東街16巷2號,30,21588.0,121.541493,25.045017,locality.63589095,中山區
113,公立,中正區,臺北市中正區忠孝國民小學附設幼兒園,(02)23918170#833,臺北市中正區忠孝東路二段101號1樓,60,21588.0,121.531669,25.043022,locality.63597287,中正區
114,公立,中正區,臺北市中正區忠義國民小學附設幼兒園,(02)23035882,臺北市中正區中華路二段307巷17號1樓,60,21588.0,121.505793,25.029913,locality.63597287,中正區
115,公立,中正區,臺北市中正區東門國民小學附設幼兒園,(02)23412051#36,臺北市中正區仁愛路一段2之4號,150,21588.0,121.52047,25.038303,locality.63597287,中正區
116,公立,中正區,臺北市中正區河堤國民小學附設幼兒園,(02)23677144#875,臺北市中正區汀州路二段180號1樓,120,21588.0,121.522224,25.022942,locality.63597287,中正區
117,公立,中正區,臺北市中正區南門國民小學附設幼兒園,(02)23715052#801,臺北市中正區廣州街6號,60,21588.0,121.508958,25.034275,locality.63597287,中正區
118,公立,中正區,臺北市中正區國語實驗國民小學附設幼兒園,(02)23118126#19,臺北市中正區重慶南路二段14之4號1樓,180,21588.0,121.512691,25.034823,locality.63597287,中正區
119,公立,中正區,臺北市中正區螢橋國民小學附設幼兒園,(02)23048543#22,臺北市中正區詔安街29號1樓,144,21588.0,121.51454,25.025371,locality.63597287,中正區
120,公立,內湖區,臺北市內湖區大湖國民小學附設幼兒園,(02)27915870#71,臺北市內湖區大湖山莊街170號,160,21588.0,121.600365,25.087338,locality.63613671,內湖區
121,公立,內湖區,臺北市內湖區內湖國民小學附設幼兒園,(02)27970237#576,臺北市內湖區內湖路二段41號1樓,128,21588.0,121.580573,25.079786,locality.63613671,內湖區
122,公立,內湖區,臺北市內湖區文湖國民小學附設幼兒園,(02)26583515#1030,臺北市內湖區文湖街15號,182,21588.0,121.559865,25.086486,locality.63613671,內湖區
123,公立,內湖區,臺北市內湖區西湖國民小學附設幼兒園,(02)27997447#181,臺北市內湖區環山路一段25號,84,21588.0,121.566252,25.083759,locality.63613671,內湖區
124,公立,內湖區,臺北市內湖區明湖國民小學附設幼兒園,(02)26323477#50,臺北市內湖區康寧路三段105號1樓,90,21588.0,121.612552,25.075874,locality.63613671,內湖區
125,公立,內湖區,臺北市內湖區東湖國民小學附設幼兒園,(02)26339984#226,臺北市內湖區東湖路115號,196,21588.0,121.6148438,25.0684897,locality.63613671,內湖區
126,公立,內湖區,臺北市內湖區南湖國民小學附設幼兒園,(02)26321296#71,臺北市內湖區康寧路三段200號,180,21588.0,121.610902,25.067929,locality.63613671,內湖區
127,公立,內湖區,臺北市內湖區康寧國民小學附設幼兒園,(02)27901237#162,臺北市內湖區星雲街121號,150,21588.0,121.594448,25.080515,locality.63613671,內湖區
128,公立,內湖區,臺北市內湖區新湖國民小學附設幼兒園,(02)27963721#130,臺北市內湖區民權東路六段138號,196,21588.0,121.588479,25.068574,locality.63613671,內湖區
129,公立,內湖區,臺北市內湖區碧湖國民小學附設幼兒園,(02)27916283#191,臺北市內湖區金龍路100號,152,21588.0,121.591433,25.084266,locality.63613671,內湖區
130,公立,內湖區,臺北市內湖區潭美國民小學附設幼兒園,(02)27917334#271,臺北市內湖區行善路179號,46,21588.0,121.581578,25.058448,locality.63613671,內湖區
131,公立,內湖區,臺北市內湖區麗山國民小學附設幼兒園,(02)26574158#718,臺北市內湖區港華街100號,196,21588.0,121.572343,25.083103,locality.63613671,內湖區
132,公立,內湖區,臺北市內湖區麗湖國民小學附設幼兒園,(02)26343888#600,臺北市內湖區金湖路363巷8號,166,21588.0,121.601189,25.072027,locality.63613671,內湖區
133,非營利,士林區,臺北市天母非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)28772327,臺北市士林區天玉街12號,90,0.0,121.527027,25.119726,locality.63638247,士林區
134,公立,文山區,臺北市文山區力行國民小學附設幼兒園,(02)29383606#751,臺北市文山區木新路三段155巷7號,150,21588.0,121.560698,24.980634,locality.63662823,文山區
135,公立,文山區,臺北市文山區木柵國民小學附設幼兒園,(02)29391234#810,臺北市文山區木柵路3段191號,120,21588.0,121.542718,24.988517,locality.63662823,文山區
136,公立,文山區,臺北市文山區志清國民小學附設幼兒園,(02)29323875#572,臺北市文山區景福街21巷5號,90,21588.0,121.539213,24.997959,locality.63662823,文山區
137,公立,文山區,臺北市文山區辛亥國民小學附設幼兒園,(02)89321312,臺北市文山區辛亥路4段103號,76,21588.0,121.553242,24.986464,locality.63662823,文山區
138,公立,文山區,臺北市文山區明道國民小學附設幼兒園,(02)29392821#171,臺北市文山區木柵路2段138巷61號,76,21588.0,121.564155,24.98846,locality.63662823,文山區
139,公立,文山區,臺北市文山區武功國民小學附設幼兒園,(02)29314360#22,臺北市文山區興隆路一段68號,120,21588.0,121.539682,25.003619,locality.63662823,文山區
140,公立,文山區,臺北市文山區指南國民小學附設幼兒園,(02)29393546#17,臺北市文山區指南路3段38巷5之2號,30,21588.0,121.5944088,24.9735089,locality.63662823,文山區
141,公立,文山區,臺北市文山區博嘉國民小學附設幼兒園,(02)22302585#162,臺北市文山區木柵路4段159巷14號,90,21588.0,121.564332,24.988463,locality.63662823,文山區
142,公立,文山區,臺北市文山區景美國民小學附設幼兒園,(02)29322151#280,臺北市文山區景文街108號,128,21588.0,121.54026,24.989141,locality.63662823,文山區
143,公立,文山區,臺北市文山區景興國民小學附設幼兒園,(02)29329439#781,臺北市文山區景華街150巷21號,136,21588.0,121.548788,24.996291,locality.63662823,文山區
144,公立,文山區,臺北市文山區溪口國民小學附設幼兒園,(02)29350955#760,臺北市文山區景福街225號,136,21588.0,121.538948,24.994623,locality.63662823,文山區
145,公立,文山區,臺北市文山區萬芳國民小學附設幼兒園,(02)22301232#816,臺北市文山區萬和街1號,196,21588.0,121.567582,25.000408,locality.63662823,文山區
146,公立,文山區,臺北市文山區萬福國民小學附設幼兒園,(02)29353123#171,臺北市文山區羅斯福路5段170巷32號,136,21588.0,121.539822,25.000364,locality.63662823,文山區
147,公立,文山區,臺北市文山區萬興國民小學附設幼兒園,(02)29370234#181,臺北市文山區秀明路2段114號,60,21588.0,121.563201,24.989101,locality.63662823,文山區
148,公立,文山區,臺北市文山區興華國民小學附設幼兒園,(02)22393070#170,臺北市文山區興隆路3段125巷6號,106,21588.0,121.545176,24.998822,locality.63662823,文山區
149,公立,文山區,臺北市文山區興隆國民小學附設幼兒園,(02)29323131#115,臺北市文山區福興路2號,166,21588.0,121.55232,25.002516,locality.63662823,文山區
150,公立,文山區,臺北市文山區興德國民小學附設幼兒園,(02)29329431#65,臺北市文山區興隆路2段235號,30,21588.0,121.555296,25.000257,locality.63662823,文山區
151,非營利,文山區,臺北市文修非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,(02)29355633,臺北市文山區興隆路一段68號(武功國小內),136,0.0,121.539682,25.003619,locality.63662823,文山區
152,公立,北投區,臺北市北投區大屯國民小學附設幼兒園,(02)28914353#31,臺北市北投區復興三路312號,30,21588.0,121.504129,25.155145,locality.63621863,北投區
153,公立,北投區,臺北市北投區文化國民小學附設幼兒園,(02)28933828#171,臺北市北投區文化三路1號,60,21588.0,121.496197,25.13714,locality.63621863,北投區
