id,類型,鄉鎮,name,幼兒園電話,addr,核定總招收人數,收費金額
19,私立,萬華區,財團法人天主教光仁文教基金會附設臺北市私立育仁幼兒園,(02)23040131,臺北市萬華區興寧街70號,150,73806
20,私立,大安區,財團法人天主教會台北教區附設臺北市私立信光幼兒園,(02)27386770,臺北市大安區通化街178號1樓,210,64960
21,私立,大同區,財團法人天主教會台北教區附設臺北市私立聖心幼兒園,(02)25578119,臺北市大同區民生西路245號1樓至3樓,330,52500
22,私立,北投區,財團法人天主教會台北教區附設臺北市私立達義幼兒園,(02)28270668,臺北市北投區致遠一路2段40巷11號1樓,180,72810
23,私立,大安區,財團法人天主教會台北教區附設臺北市私立曉星幼兒園,(02)27033211,臺北市大安區延吉街254號1樓,90,69090
24,私立,文山區,財團法人天主教會臺北教區附設臺北市私立若石幼兒園,(02)29328022,臺北市文山區羅斯福路五段51號1樓,240,69336
25,私立,大同區,財團法人王氏太原堂附設臺北市私立太原幼兒園,(02)25942628,臺北市大同區迪化街二段243巷2號1樓,210,59700
26,私立,文山區,財團法人台北市中國基督教靈糧世界佈道會台北靈糧堂附設臺北市私立靈糧幼兒園,(02)86636650,臺北市文山區萬美街2段80號1樓,90,
27,私立,文山區,財團法人台北市中華基督教青年會附設臺北市私立文山幼兒園,(02)22362817,臺北市文山區和興路2號1樓至2樓,228,69460
28,私立,信義區,財團法人台北市中華基督教青年會附設臺北市私立永吉幼兒園,(02)2763-1261,臺北市信義區永吉路500號,90,87200
29,私立,文山區,財團法人台北市中華基督教景美浸信會附設臺北市私立聖愛幼兒園,(02)29332244,臺北市文山區育英街63號,60,49150
30,私立,大安區,財團法人台北市中華基督教衛理公會衛理堂附設台北市私立衛理幼兒園,(02)27713679,臺北市大安區新生南路一段113號1樓,195,64480
31,私立,中正區,財團法人台北市私立強恕高級中學附設臺北市私立幼兒園,(02)23680818,臺北市中正區汀州路二段143號1樓,150,53796
32,私立,大安區,財團法人台北市基督教浸信會懷恩堂附設臺北市私立懷恩幼兒園,(02)23636593,臺北市大安區新生南路3段90號1樓,150,65700
33,私立,文山區,財團法人台北市華亞之聲社中華基督教便以利教會附設臺北市私立華聲幼兒園,(02)29392038,臺北市文山區指南路2段11號1樓,235,78000
34,私立,中正區,財團法人台北基督教女青年會附設臺北市私立幼兒園,(02)23816619,臺北市中正區青島西路7號2樓,106,
35,私立,大安區,財團法人台灣聖公會附設臺北市私立聖約翰幼兒園,(02)27327334,臺北市大安區復興南路二段280號,90,61350
36,私立,士林區,財團法人林迺翁文教基金會附設臺北市私立天鵝堡幼兒園,(02)28411618,臺北市士林區至善路2段280之1號,210,57000
37,私立,中正區,財團法人信誼基金會附設臺北市私立實驗幼兒園,(02)23965305#1023,臺北市中正區重慶南路二段75號2樓,64,86800
38,非營利,萬華區,財團法人海棠文教基金會附設臺北市私立國興非營利幼兒園(臺北市政府委託辦理),(02)2303-8164,臺北市萬華區國興路46號1樓及2樓,138,0
39,私立,南港區,財團法人國光慈善事業基金會附設臺北市私立三軍幼兒園,(02)27858410#27,臺北市南港區南港路二段146號1樓,300,42021
40,私立,大同區,財團法人陳德星堂附設臺北市私立德星幼兒園,(02)25567150#16,臺北市大同區寧夏路27號1樓,150,69840
41,準公共,松山區,財團法人福智文教基金會附設臺北市私立妙行幼兒園,(02)25451351,臺北市松山區南京東路4段133巷5弄23號1樓,34,77136
42,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）,(02)27921389,臺北市內湖區行善路25巷13號1樓,89,0
43,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）行善分班,(02)2792-1389,臺北市內湖區行善路25巷11號,60,0
44,非營利,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）潭美分班,(02)2790-6877,臺北市內湖區行善路179號,16,0
45,準公共,松山區,財團法人福智文教基金會附設臺北市私立妙慧幼兒園,(02)25451307,臺北市松山區南京東路4段133巷5弄25號,40,78348
46,私立,大安區,財團法人臺北市私立立人國際國民中小學附設臺北市私立幼兒園,(02)27361388#518,臺北市大安區安和路二段99號,240,60495
47,私立,松山區,財團法人臺北市私立立德幼兒園,(02)27670043,臺北市松山區南京東路5段123巷8弄47號1樓,210,48000
48,私立,大安區,財團法人臺北市私立金甌女子高級中學附設臺北市私立幼兒園,(02)33931683,臺北市大安區杭州南路二段1號1樓,90,86322
49,私立,大安區,財團法人臺北市私立復興實驗高級中學附設臺北市私立幼兒園,(02)27715859#411,臺北市大安區敦化南路一段262號1樓,300,121010
50,私立,大安區,財團法人臺北市私立蒙特梭利幼兒園,(02)27529503#20,臺北市大安區新生南路1段103巷27號,150,151510
51,私立,大安區,財團法人臺灣大學校園建設基金會附設臺北市私立幼兒園,(02)33664428,臺北市大安區基隆路四段144巷59弄12號1樓,120,55530
52,私立,松山區,財團法人臺灣省臺南市天主教鮑思高慈幼會附設臺北市私立思高幼兒園,(02)27135473,臺北市松山區民生東路三段125號1樓,180,82200
53,私立,北投區,財團法人臺灣基督長老教會雙連教會附設臺北市私立雙連幼兒園,(02)28228444,臺北市北投區承德路7段221號,1200,65310
54,私立,士林區,財團法人臺灣聖公會附設臺北市私立牧愛堂幼兒園,(02)28823460,臺北市士林區中正路509號,270,84840
55,公立,文山區,國立政治大學附設實驗國民小學附設幼兒園,(02)29393091#80105,臺北市文山區指南路二段64號,90,21588
56,公立,大安區,國立臺北教育大學附設實驗國民小學附設幼兒園,(02)27356186#184,臺北市大安區和平東路二段94號,120,21588
57,私立,中正區,國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,(02)23123456#67384,臺北市中正區常德街1號1樓,152,58820
58,準公共,中正區,國防醫學院附設臺北市私立愛德幼兒園,(02)23686489,臺北市中正區汀州路3段24巷5弄12號,108,
59,私立,內湖區,康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,(02)27990099,臺北市內湖區文德路66巷99號1至3樓,293,169220
60,私立,大安區,新民學校財團法人附設臺北市私立幼兒園,(02)23630450#600,臺北市大安區辛亥路一段113號1樓,90,
61,私立,內湖區,遊戲橘子數位科技股份有限公司附設臺北市私立員工子女幼橘園幼兒園,(02)26589690,臺北市內湖區港墘路221巷33號1樓,75,87900
62,私立,中山區,實踐大學附設臺北市私立幼兒園,(02)25336078,臺北市中山區大直街70號1樓,20,56250
63,非營利,信義區,臺北市?公非營利幼兒園（委託社團法人中華音樂舞蹈暨表演藝術教育協會辦理）,(02)27279090,臺北市信義區福德街221巷15號,168,0
64,非營利,內湖區,臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,(02)2796-8321,臺北市內湖區民權東路六段45號,106,0
65,非營利,士林區,臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)88661016,臺北市士林區忠誠路二段53巷7號1、2樓,198,0
66,公立,士林區,臺北市士林區士東國民小學附設幼兒園,(02)28710064#267,臺北市士林區中山北路6段392號,90,21588
67,公立,士林區,臺北市士林區士林國民小學附設幼兒園,(02)28812231#252,臺北市士林區大東路165號,136,21588
68,公立,士林區,臺北市士林區文昌國民小學附設幼兒園,(02)28365411#170,臺北市士林區文林路615巷20號,106,21588
69,公立,士林區,臺北市士林區平等國民小學附設幼兒園,(02)28610503#22,臺北市士林區平菁街101號,30,21588
70,公立,士林區,臺北市士林區百齡國民小學附設幼兒園,(02)28817683#880,臺北市士林區福港街205號,226,21588
71,公立,士林區,臺北市士林區社子國民小學附設幼兒園,(02)28151320#10,臺北市士林區延平北路六段308號,234,21588
72,公立,士林區,臺北市士林區芝山國民小學附設幼兒園,(02)28348111#10,臺北市士林區德行東路285號,220,21588
73,公立,士林區,臺北市士林區雨農國民小學附設幼兒園,(02)28329700#129,臺北市士林區忠義街1號,128,21588
74,公立,士林區,臺北市士林區雨聲國民小學附設幼兒園,(02)28311420#262,臺北市士林區至誠路一段62巷70號,152,21588
75,公立,士林區,臺北市士林區富安國民小學附設幼兒園,(02)28103192#120,臺北市士林區延平北路八段135號,106,21588
76,公立,士林區,臺北市士林區陽明山國民小學附設幼兒園,(02)28616046#163,臺北市士林區仰德大道三段61號,76,21588
77,公立,士林區,臺北市士林區溪山國民小學附設幼兒園,(02)28411010#123,臺北市士林區至善路三段199號,30,21588
78,公立,士林區,臺北市士林區葫蘆國民小學附設幼兒園,(02)28129586#872,臺北市士林區環河北路3段95號,136,21588
79,公立,士林區,臺北市士林區福林國民小學附設幼兒園,(02)28316293#206,臺北市士林區福志路75號,106,21588
80,公立,士林區,臺北市士林區劍潭國民小學附設幼兒園,(02)28853564#111,臺北市士林區通河街16號,120,21588
81,公立,士林區,臺北市士林區雙溪國民小學附設幼兒園,(02)28411038#21,臺北市士林區中社路二段66號,30,21588
82,公立,士林區,臺北市士林區蘭雅國民小學附設幼兒園,(02)28328086#17,臺北市士林區磺溪街57號,166,21588
83,公立,大同區,臺北市大同區大同國民小學附設幼兒園,(02)25965407#171,臺北市大同區大龍街51號,120,21588
84,公立,大同區,臺北市大同區大橋國民小學附設幼兒園,(02)25944413#161,臺北市大同區重慶北路三段2號,106,21588
85,公立,大同區,臺北市大同區大龍國民小學附設幼兒園,(02)25942635#878,臺北市大同區哈密街47號,166,21588
86,公立,大同區,臺北市大同區太平國民小學附設幼兒園,(02)25532229#873,臺北市大同區延平北路二段239號,152,21588
87,公立,大同區,臺北市大同區日新國民小學附設幼兒園,(02)25584819#512,臺北市大同區太原路151號,150,21588
88,公立,大同區,臺北市大同區永樂國民小學附設幼兒園,(02)25534882#115,臺北市大同區延平北路二段266號,182,21588
89,公立,大同區,臺北市大同區延平國民小學附設幼兒園,(02)25942439#281,臺北市大同區昌吉街97號,120,21588
90,公立,大同區,臺北市大同區蓬萊國民小學附設幼兒園,(02)25569835#120,臺北市大同區寧夏路35號,98,21588
91,公立,大同區,臺北市大同區雙蓮國民小學附設幼兒園,(02)25570309#1902,臺北市大同區錦西街51號,150,21588
92,公立,大安區,臺北市大安區大安國民小學附設幼兒園,(02)27322332#871,臺北市大安區臥龍街129號1至2樓,226,21588
93,公立,大安區,臺北市大安區仁愛國民小學附設幼兒園,(02)27095010#509,臺北市大安區安和路一段60號1樓,120,21588
94,公立,大安區,臺北市大安區公館國民小學附設幼兒園,(02)27351734#271,臺北市大安區基隆路四段41巷68弄2號,90,21588
95,公立,大安區,臺北市大安區古亭國民小學附設幼兒園,(02)23639795#874,臺北市大安區羅斯福路三段201號,120,21588
96,公立,大安區,臺北市大安區幸安國民小學附設幼兒園,(02)27074191#3600,臺北市大安區仁愛路三段22號,196,21588
97,公立,大安區,臺北市大安區建安國民小學附設幼兒園,(02)27077119#170,臺北市大安區大安路二段99號,150,21588
98,公立,大安區,臺北市大安區新生國民小學附設幼兒園,(02)23913122#250,臺北市大安區新生南路二段36號,120,21588
99,公立,大安區,臺北市大安區銘傳國民小學附設幼兒園,(02)23639815#20,臺北市大安區羅斯褔路四段21號,60,21588
100,公立,大安區,臺北市大安區龍安國民小學附設幼兒園,(02)23628493#20,臺北市大安區新生南路三段33號1樓至3樓,180,21588
101,非營利,大同區,臺北市大龍峒非營利幼兒園（委託財團法人台北基督教女青年會辦理）,(02)25922221,臺北市大同區重慶北路3段320號,106,0
102,公立,中山區,臺北市中山區大佳國民小學附設幼兒園,(02)25059744,臺北市中山區濱江街107號2樓,60,21588
103,公立,中山區,臺北市中山區大直國民小學附設幼兒園,(02)25336733#13,臺北市中山區大直街2號,106,21588
104,公立,中山區,臺北市中山區中山國民小學附設幼兒園,(02)25914085#52,臺北市中山區民權東路一段69號,180,21588
105,公立,中山區,臺北市中山區中正國民小學附設幼兒園,(02)25063653#174,臺北市中山區龍江路62號,136,21588
106,公立,中山區,臺北市中山區五常國民小學附設幼兒園,(02)25023416#114,臺北市中山區五常街16號,226,21588
107,公立,中山區,臺北市中山區永安國民小學附設幼兒園,(02)25335672#270,臺北市中山區明水路397巷19弄1號,150,21588
108,公立,中山區,臺北市中山區吉林國民小學附設幼兒園,(02)25221525#10,臺北市中山區長春路116號,174,21588
109,公立,中山區,臺北市中山區長安國民小學附設幼兒園,(02)25617600#170,臺北市中山區吉林路15號,136,21588
110,公立,中山區,臺北市中山區長春國民小學附設幼兒園,(02)25024366#184,臺北市中山區長春路165號,120,21588
111,公立,中山區,臺北市中山區濱江國民小學附設幼兒園,(02)85021571#1500,臺北市中山區樂群2路266巷99號,182,21588
112,公立,中山區,臺北市中山區懷生國民小學附設幼兒園,(02)27710846#903,臺北市中山區安東街16巷2號,30,21588
113,公立,中正區,臺北市中正區忠孝國民小學附設幼兒園,(02)23918170#833,臺北市中正區忠孝東路二段101號1樓,60,21588
114,公立,中正區,臺北市中正區忠義國民小學附設幼兒園,(02)23035882,臺北市中正區中華路二段307巷17號1樓,60,21588
115,公立,中正區,臺北市中正區東門國民小學附設幼兒園,(02)23412051#36,臺北市中正區仁愛路一段2之4號,150,21588
116,公立,中正區,臺北市中正區河堤國民小學附設幼兒園,(02)23677144#875,臺北市中正區汀州路二段180號1樓,120,21588
117,公立,中正區,臺北市中正區南門國民小學附設幼兒園,(02)23715052#801,臺北市中正區廣州街6號,60,21588
118,公立,中正區,臺北市中正區國語實驗國民小學附設幼兒園,(02)23118126#19,臺北市中正區重慶南路二段14之4號1樓,180,21588
119,公立,中正區,臺北市中正區螢橋國民小學附設幼兒園,(02)23048543#22,臺北市中正區詔安街29號1樓,144,21588
120,公立,內湖區,臺北市內湖區大湖國民小學附設幼兒園,(02)27915870#71,臺北市內湖區大湖山莊街170號,160,21588
121,公立,內湖區,臺北市內湖區內湖國民小學附設幼兒園,(02)27970237#576,臺北市內湖區內湖路二段41號1樓,128,21588
122,公立,內湖區,臺北市內湖區文湖國民小學附設幼兒園,(02)26583515#1030,臺北市內湖區文湖街15號,182,21588
123,公立,內湖區,臺北市內湖區西湖國民小學附設幼兒園,(02)27997447#181,臺北市內湖區環山路一段25號,84,21588
124,公立,內湖區,臺北市內湖區明湖國民小學附設幼兒園,(02)26323477#50,臺北市內湖區康寧路三段105號1樓,90,21588
125,公立,內湖區,臺北市內湖區東湖國民小學附設幼兒園,(02)26339984#226,臺北市內湖區東湖路115號,196,21588
126,公立,內湖區,臺北市內湖區南湖國民小學附設幼兒園,(02)26321296#71,臺北市內湖區康寧路三段200號,180,21588
127,公立,內湖區,臺北市內湖區康寧國民小學附設幼兒園,(02)27901237#162,臺北市內湖區星雲街121號,150,21588
128,公立,內湖區,臺北市內湖區新湖國民小學附設幼兒園,(02)27963721#130,臺北市內湖區民權東路六段138號,196,21588
129,公立,內湖區,臺北市內湖區碧湖國民小學附設幼兒園,(02)27916283#191,臺北市內湖區金龍路100號,152,21588
130,公立,內湖區,臺北市內湖區潭美國民小學附設幼兒園,(02)27917334#271,臺北市內湖區行善路179號,46,21588
131,公立,內湖區,臺北市內湖區麗山國民小學附設幼兒園,(02)26574158#718,臺北市內湖區港華街100號,196,21588
132,公立,內湖區,臺北市內湖區麗湖國民小學附設幼兒園,(02)26343888#600,臺北市內湖區金湖路363巷8號,166,21588
133,非營利,士林區,臺北市天母非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)28772327,臺北市士林區天玉街12號,90,0
134,公立,文山區,臺北市文山區力行國民小學附設幼兒園,(02)29383606#751,臺北市文山區木新路三段155巷7號,150,21588
135,公立,文山區,臺北市文山區木柵國民小學附設幼兒園,(02)29391234#810,臺北市文山區木柵路3段191號,120,21588
136,公立,文山區,臺北市文山區志清國民小學附設幼兒園,(02)29323875#572,臺北市文山區景福街21巷5號,90,21588
137,公立,文山區,臺北市文山區辛亥國民小學附設幼兒園,(02)89321312,臺北市文山區辛亥路4段103號,76,21588
138,公立,文山區,臺北市文山區明道國民小學附設幼兒園,(02)29392821#171,臺北市文山區木柵路2段138巷61號,76,21588
139,公立,文山區,臺北市文山區武功國民小學附設幼兒園,(02)29314360#22,臺北市文山區興隆路一段68號,120,21588
140,公立,文山區,臺北市文山區指南國民小學附設幼兒園,(02)29393546#17,臺北市文山區指南路3段38巷5之2號,30,21588
141,公立,文山區,臺北市文山區博嘉國民小學附設幼兒園,(02)22302585#162,臺北市文山區木柵路4段159巷14號,90,21588
142,公立,文山區,臺北市文山區景美國民小學附設幼兒園,(02)29322151#280,臺北市文山區景文街108號,128,21588
143,公立,文山區,臺北市文山區景興國民小學附設幼兒園,(02)29329439#781,臺北市文山區景華街150巷21號,136,21588
144,公立,文山區,臺北市文山區溪口國民小學附設幼兒園,(02)29350955#760,臺北市文山區景福街225號,136,21588
145,公立,文山區,臺北市文山區萬芳國民小學附設幼兒園,(02)22301232#816,臺北市文山區萬和街1號,196,21588
146,公立,文山區,臺北市文山區萬福國民小學附設幼兒園,(02)29353123#171,臺北市文山區羅斯福路5段170巷32號,136,21588
147,公立,文山區,臺北市文山區萬興國民小學附設幼兒園,(02)29370234#181,臺北市文山區秀明路2段114號,60,21588
148,公立,文山區,臺北市文山區興華國民小學附設幼兒園,(02)22393070#170,臺北市文山區興隆路3段125巷6號,106,21588
149,公立,文山區,臺北市文山區興隆國民小學附設幼兒園,(02)29323131#115,臺北市文山區福興路2號,166,21588
150,公立,文山區,臺北市文山區興德國民小學附設幼兒園,(02)29329431#65,臺北市文山區興隆路2段235號,30,21588
151,非營利,文山區,臺北市文修非營利幼兒園（委託財團法人三之三生命教育基金會辦理）,(02)29355633,臺北市文山區興隆路一段68號(武功國小內),136,0
152,公立,北投區,臺北市北投區大屯國民小學附設幼兒園,(02)28914353#31,臺北市北投區復興三路312號,30,21588
153,公立,北投區,臺北市北投區文化國民小學附設幼兒園,(02)28933828#171,臺北市北投區文化三路1號,60,21588
154,公立,北投區,臺北市北投區文林國民小學附設幼兒園,(02)28234212#800,臺北市北投區文林北路155號,174,21588
155,公立,北投區,臺北市北投區北投國民小學附設幼兒園,(02)28912052#266,臺北市北投區中央北路一段73號,204,21588
156,公立,北投區,臺北市北投區石牌國民小學附設幼兒園,(02)28227484#170,臺北市北投區致遠二路80號,210,21588
157,公立,北投區,臺北市北投區立農國民小學附設幼兒園,(02)28210702#600,臺北市北投區立農街一段250號,128,21588
158,公立,北投區,臺北市北投區明德國民小學附設幼兒園,(02)28229651#1501,臺北市北投區明德路190號,120,21588
159,公立,北投區,臺北市北投區泉源國民小學附設幼兒園,(02)28951258#161,臺北市北投區東昇路34號,30,21588
160,公立,北投區,臺北市北投區桃源國民小學附設幼兒園,(02)28941208#173,臺北市北投區中央北路三段40巷45號,60,21588
161,公立,北投區,臺北市北投區清江國民小學附設幼兒園,(02)28912764#600,臺北市北投區公館路220號,120,21588
162,公立,北投區,臺北市北投區湖山國民小學附設幼兒園,(02)28610259#140,臺北市北投區湖底路11號,30,21588
163,公立,北投區,臺北市北投區湖田國民小學附設幼兒園,(02)28616963#50,臺北市北投區竹子湖路17之2號,30,21588
164,公立,北投區,臺北市北投區逸仙國民小學附設幼兒園,(02)28957073,臺北市北投區新民路2號,166,21588
165,公立,北投區,臺北市北投區義方國民小學附設幼兒園,(02)28917433#271,臺北市北投區珠海路155號,90,21588
166,公立,北投區,臺北市北投區關渡國民小學附設幼兒園,(02)28912847#861,臺北市北投區中央北路四段581號,150,21588
167,非營利,大安區,臺北市正義非營利幼兒園（委託社團法人中華婦幼發展協會辦理）,(02)27726656,臺北市大安區忠孝東路三段216巷4弄41號,144,0
168,非營利,文山區,臺北市永建非營利幼兒園（委託社團法人台北市教保人員協會辦理）,(02)22347257,臺北市文山區木柵路一段311巷1號,106,0
169,公立,士林區,臺北市立士林幼兒園,(02)28853842,臺北市士林區通河街179巷2號,150,21588
170,公立,大同區,臺北市立大同幼兒園,(02)25595901,臺北市大同區南京西路64巷9弄8號,180,21588
171,公立,大安區,臺北市立大安幼兒園,(02)27551211,臺北市大安區四維路198巷31弄11號,210,21588
172,公立,中正區,臺北市立大學附設實驗國民小學附設幼兒園,(02)23117991,臺北市中正區公園路29號1樓,196,21588
173,公立,中山區,臺北市立中山幼兒園,(02)25336738,臺北市中山區大直街25號1、2樓,270,21588
174,公立,中正區,臺北市立中正幼兒園,(02)23933620,臺北市中正區濟南路二段46號2樓,150,21588
175,公立,內湖區,臺北市立內湖幼兒園,(02)27993223,臺北市內湖區陽光街265巷9號,212,21588
176,公立,文山區,臺北市立文山幼兒園,(02)29395526#11,臺北市文山區興隆路四段105巷1號,240,21588
177,公立,北投區,臺北市立北投幼兒園,(02)28237022,臺北市北投區明德路208巷5號,150,21588
178,公立,松山區,臺北市立松山幼兒園,(02)27181189,臺北市松山區敦化北路199巷5號2樓,180,21588
179,公立,中山區,臺北市立育航幼兒園,(02)25178372#210,臺北市中山區長春路256號,278,21588
180,公立,信義區,臺北市立信義幼兒園,(02)27297527,臺北市信義區基隆路一段364巷20、24號,240,21588
181,公立,萬華區,臺北市立南海實驗幼兒園,(02)23022984,臺北市萬華區西藏路424號,346,21588
182,公立,南港區,臺北市立南港幼兒園,(02)27825081,臺北市南港區重陽路199巷28號,150,21588
183,私立,南港區,臺北市立南港高級中學教師會附設臺北市私立員工子女幼兒園,(02)27837863#297,臺北市南港區向陽路21號1樓,40,
184,準公共,松山區,臺北市立敦化國民中學教師會附設臺北市私立員工子女幼兒園,(02)87717890#317,臺北市松山區南京東路3段300號2樓,32,
185,公立,萬華區,臺北市立萬華幼兒園,(02)23020936,臺北市萬華區梧州街36號、36號2樓之1,150,21588
186,非營利,信義區,臺北市吉中非營利幼兒園(委託財團法人台北基督教女青年會辦理),(02)2768-1159,臺北市信義區松隆路161號,152,0
187,非營利,北投區,臺北市吉利非營利幼兒園(委託社團法人台北市親子成長協會辦理),(02)28200118,臺北市北投區立農街一段366號1至3樓,147,0
188,非營利,南港區,臺北市向陽非營利幼兒園（委託社團法人嬰幼兒教育與家庭發展協會辦理）,(02)2785-6151,臺北市南港區向陽路31號,106,0
189,非營利,大安區,臺北市安東非營利幼兒園（委託社團法人台北市兒童托育協會辦理）,(02)27067642,臺北市大安區瑞安街75號2樓,182,0
190,非營利,內湖區,臺北市西中非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),(02)2797-0700,臺北市內湖區環山路一段27號,152,0
191,準公共,北投區,臺北市私立一德幼兒園,(02)28215755,臺北市北投區明德路136巷9號1樓,120,80560
192,私立,大安區,臺北市私立人安幼兒園,(02)27041113,臺北市大安區四維路154巷19號1樓,24,89500
193,私立,士林區,臺北市私立十大幼兒園,(02)28749113,臺北市士林區天母東路92號1樓,60,132480
194,私立,松山區,臺北市私立三民幼兒園,(02)27651882,臺北市松山區民生東路五段69巷2弄37號,180,72150
195,私立,大安區,臺北市私立三愛幼兒園,(02)23680388,臺北市大安區溫州街48巷15號1樓,30,
196,私立,大安區,臺北市私立三暉幼兒園,(02)23225491,臺北市大安區和平東路一段91號2樓,99,78600
197,準公共,文山區,臺北市私立三義幼兒園,(02)86619636,臺北市文山區木柵路三段48巷1弄16號,50,64170
198,私立,大安區,臺北市私立上愛幼兒園,(02)23629886,臺北市大安區溫州街52巷14號1樓,23,121600
199,私立,大安區,臺北市私立上群蒙特梭利幼兒園,(02)87719739,臺北市大安區仁愛路3段123巷5號,50,
200,私立,信義區,臺北市私立上群蒙特梭利忠孝幼兒園,(02)27691208,臺北市信義區忠孝東路5段207號1、2樓,60,75000
201,私立,信義區,臺北市私立上群蒙特梭利信義幼兒園,(02)27693636,臺北市信義區忠孝東路5段217號,75,99000
202,私立,大安區,臺北市私立上學趣蒙特梭利幼兒園,(02)87739963,臺北市大安區忠孝東路3段251巷9弄 8、10號1樓,30,194255
203,準公共,文山區,臺北市私立千千幼兒園,(02)29397502,臺北市文山區木柵路三段85巷8弄5號,52,59266
204,私立,士林區,臺北市私立士林科見幼兒園,(02)28332398,臺北市士林區中山北路五段608、610號1、2樓,108,
205,私立,南港區,臺北市私立大大樹幼兒園,(02)27851516,臺北市南港區玉成街46及48號1樓,61,108120
206,準公共,南港區,臺北市私立大方凌雲幼兒園,(02)27820190,臺北市南港區研究院路三段2巷2、6、8號1樓,62,51000
207,準公共,大安區,臺北市私立大成幼兒園,(02)23697443,臺北市大安區雲和街8號1樓,28,98000
208,準公共,萬華區,臺北市私立大理幼兒園,(02)23044506,臺北市萬華區雙園街67巷3弄3、4、5、7號1樓,99,51000
209,私立,中山區,臺北市私立大智幼兒園,(02)25320696,臺北市中山區明水路397巷7弄24號1樓,40,110000
210,私立,內湖區,臺北市私立大湖寶貝幼兒園,(02)27921959,臺北市內湖區大湖街166巷10號1樓至2樓,37,
211,準公共,南港區,臺北市私立大華幼兒園,(02)26533111,臺北市南港區忠孝東路6段212巷4弄9號1樓,120,86088
212,私立,中山區,臺北市私立大愛幼兒園,(02)25023200,臺北市中山區松江路221巷15號1樓,31,134340
213,私立,大安區,臺北市私立大瑪幼兒園,(02)27070126,臺北市大安區和平東路二段265巷44號1樓,18,
