編號,區,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收人數
29,內湖區,臺北市西中非營利幼兒園(委託財團法人靖娟兒童安全文教基金會辦理),(02)2797-0700,[114]臺北市內湖區西湖里2鄰環山路一段27號,152
30,內湖區,社團法人臺北市幼托協會附設臺北市私立星雲非營利幼兒園（臺北市政府委託辦理）,(02)87918776,[114]臺北市內湖區清白里4鄰星雲街161巷3號2樓,85
31,內湖區,臺北市新東湖非營利幼兒園(委託社團法人台北市幼兒園協會辦理),(02)26327828,[114]臺北市內湖區東湖里10鄰康樂街110巷16弄22號1.2樓,150
32,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）潭美分班,(02)2790-6877,[114]臺北市內湖區週美里21鄰行善路179號,16
33,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）,(02)27921389,[114]臺北市內湖區行善里18鄰行善路25巷13號1樓,89
34,內湖區,財團法人福智文教基金會附設臺北市私立妙善非營利幼兒園（臺北市政府委託辦理）行善分班,(02)2792-1389,[114]臺北市內湖區行善里21鄰行善路25巷11號1、2樓,60
35,內湖區,臺北市三民亦禮非營利幼兒園（委託財團法人中華民國唐氏症基金會辦理）,(02)2796-8321,[114]臺北市內湖區湖興里13鄰民權東路六段45號,106
36,內湖區,臺北市康寧非營利幼兒園（委託財團法人幼兒教育基金會辦理）,(02)26319818,[114]臺北市內湖區康寧里18鄰康寧路三段189巷93弄18號1樓,76
37,士林區,臺北市泰北非營利幼兒園(委託財團法人三之三生命教育基金會辦理),(02)28828633,[111]臺北市士林區福林里3鄰福林路240號,106
38,士林區,臺北市葫蘆非營利幼兒園（委託社團法人台灣公共托育協會辦理）,(02)28151220,[111]臺北市士林區福順里15鄰延平北路5段136巷1號1.2樓,150
39,士林區,臺北市三玉非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)88661016,[111]臺北市士林區三玉里14鄰忠誠路二段53巷7號1、2樓,198
40,士林區,臺北市新三玉非營利幼兒園(委託財團法人毛毛蟲兒童哲學基金會辦理),(02)28742988,[111]臺北市士林區三玉里1鄰天母東路116號,106
41,士林區,臺北市天母非營利幼兒園（委託社團法人台北市幼兒園協會辦理）,(02)28772327,[111]臺北市士林區天玉里3鄰天玉街12號,90
42,北投區,臺北市吉利非營利幼兒園(委託社團法人台北市親子成長協會辦理),(02)28200118,[112]臺北市北投區立農里25鄰立農街一段366號1至3樓,147
,"","","",合計核定總招收人數,5448
